query,site,type,notes,top_3,top_3_score,latency_ms,judgement
teos,Store A,open,Brand prefix,Масло сливочное безлактозное «Teos» 1кг|Йогурт греческий персик «Teos» 900г|Йогурт греческий черника «Teos» 140г,||,10.99,
греч не,Store C,open,Cyrillic split,Салат готовый vegan «CityLunch» 300г|Салат готовый оливье «FreshBar» 300г|Салат готовый grain bowl «GreenMix» 180г,||,9.83,
prosecco ro,Store F,open,Latin multi-word,Вино игристое prosecco «Prosecco Alto» 1500мл|Вино игристое prosecco «Prosecco Alto» 750мл|Вино игристое rose «Prosecco Alto» 1500мл,||,12.06,
джин то,Store F,open,Cocktail ingredient,Джин премиальный grapefruit «Nordic Gin» 1000мл|Джин премиальный grapefruit «Nordic Gin» 1000мл|Джин премиальный botanical «Volt Spirit» 700мл,||,11.99,
хозяйст мыло,Store D,open,Household goods,Батарейки AA alkaline «VoltEdge» 4шт|Пакеты для мусора 60л «StrongHold» 30шт|Полотенца бумажные эко «MaxiRoll» 2шт,||,10.14,
power bank 20,Store E,open,Numeric suffix,Power Bank 20000mAh «HyperCell» 1шт|Power Bank 20000mAh «VoltEdge» 1шт|Power Bank 20000mAh «PowerStack» 1шт,||,13.09,
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг|Сыр гауда кусок «Dutch Yard» 200г|Сыр гауда кусок «Nordic Cheese» 5кг,||,11.53,
diap night,Store D,open,Latin shortcut for diapers,Сыр гауда кусок «Dutch Yard» 200г|Витаминный комплекс иммунитет «DailyVits» 30табл.|Гель для душа увлажняющий «Daily Ritual» 400мл,||,10.57,
cat adult,Store C,open,Pet food intent,Корм для кошек сухой adult «CatCraft» 1500г|Корм для кошек сухой adult «NordPet» 1500г|Корм для кошек сухой adult «NordPet» 400г,||,10.09,
dog hypo,Store C,open,Hypoallergenic dog food,Корм для собак гипоаллергенный salmon «DogForce» 12кг|Корм для собак гипоаллергенный medium «DogForce» 1500г|Корм для собак гипоаллергенный mini «DogForce» 1500г,||,9.43,
san pelle,Store F,open,Sparkling water brand,Минеральная вода citrus «San Pellegrino» 1.5л|Чай листовой чёрный «Samokat» 90г|Салат готовый витаминный «Samokat Kitchen» 300г,||,9.07,
посуд моющ,Store D,open,Abbreviated dish soap,Подгузники детские premium «Huggsy» 26шт|Полотенца бумажные эко «MaxiRoll» 2шт|Подгузники детские для чувствительной кожи «Huggsy» 60шт,||,11.12,
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E14 «Luma» 4шт|Лампа LED smart «BrightHome» 1шт|Лампа LED теплый «Volt» 2шт,||,11.64,
мешки 120л,Store D,open,Trash bags with volume,Пакеты для мусора 120л «CleanUp» 30шт|Пакеты для мусора 120л «DailyFix» 15шт|Пакеты для мусора 120л «StrongHold» 50шт,||,9.40,
круп греч,Store C,open,Abbreviated grocery,Крупа гречневая ядрица «Русская крупа» 15кг|Крупа гречневая ядрица «Русская крупа» 900г|Крупа гречневая organic «Русская крупа» 15кг,||,11.03,
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «ChefPro» 5кг|Рыба минтай блок филе «HoReCaFish» 10кг|Рыба минтай блок филе «HoReCaFish» 10кг,||,11.97,
йогурт греческий,Store A,hidden,Full word should still trigger prefix analyzer,Йогурт греческий черника «Mediterran» 140г|Йогурт греческий натуральный «Mykonos» 900г|Йогурт греческий черника «Mediterran» 140г,||,12.53,
lay chips,Store B,hidden,English brand typed loosely,Макароны из твердых сортов penne «La Linea» 5кг|Шоколад премиальный без сахара «Lattea» 100г|Макароны из твердых сортов fusilli «La Linea» 5кг,||,12.18,
масло сливочное крестьян,Store D,hidden,Long tail prefix,Масло сливочное безлактозное «Teos» 1кг|Масло сливочное премиум «Teos» 200г|Масло сливочное безлактозное «Teos» 1кг,||,13.03,
санпел,Store F,hidden,Aggressive truncation,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г|Масло сливочное крестьянское «Северное поле» 225г|Крупа гречневая быстрого приготовления «Северные поля» 900г,||,10.48,
xfqyfz сервиз,Store E,hidden,Mixed layout + second word,,,8.39,
cheddar 5kg,Store C,hidden,B2B cheese,Сыр чеддер mature «Cheddar Club» 5кг|Сыр чеддер mature «Cheddar Club» 400г|Сыр чеддер mild «Cheddar Club» 5кг,||,9.84,
fris cat adult,Store C,hidden,Pet food brand,Корм для кошек сухой lamb «FrisCat» 1500г|Корм для кошек сухой indoor «FrisCat» 400г|Корм для кошек сухой lamb «FrisCat» 10кг,||,9.07,
прокладки ночные,Store D,hidden,Hygiene category,Подгузники детские ночные «PampKids» 96шт|Подгузники детские ночные «EcoBaby» 96шт|Подгузники детские ночные «Huggsy» 40шт,||,11.35,
масло растительное horeca,Store C,hidden,Industry keyword,Масло подсолнечное для HoReCa «ChefPro» 3000мл|Масло подсолнечное для HoReCa «Helio» 5000мл|Масло подсолнечное для HoReCa «Южное» 5000мл,||,13.94,
филе индейки 5кг,Store A,hidden,Bulk poultry,Филе грудки индейки HoReCa «FarmLine» 5кг|Филе грудки индейки охлажденное «ProteinPro» 5кг|Филе грудки индейки охлажденное «ProteinPro» 5кг,||,12.96,
памперсы размер 3 night,Store D,hidden,Mixed language,Подгузники детские размер 3 «EcoBaby» 60шт|Подгузники детские размер 3 «EcoBaby» 32шт|Подгузники детские размер 2 «Huggsy» 96шт,||,12.08,
adapter type c gan,Store E,hidden,Technical spec,Адаптер USB-C gan «VoltEdge» 1шт|Адаптер USB-C gan «TechNode» 1шт|Адаптер USB-C gan «VoltEdge» 1шт,||,13.24,
power bank wireless,Store E,hidden,Accessory variant,Power Bank wireless «HyperCell» 1шт|Power Bank wireless «VoltEdge» 1шт|Power Bank wireless «VoltEdge» 1шт,||,11.34,
riesling mosel 1.5l,Store F,hidden,Numeric suffix,Вино игристое riesling mosel «Rieslinghaus» 750мл|Вино игристое riesling mosel «Rieslinghaus» 1500мл|Вино игристое riesling mosel «Mosel Craft» 1500мл,||,9.66,
prosc ros,Store F,hidden,Severely truncated,Power Bank slim «HyperCell» 1шт|Power Bank wireless «HyperCell» 1шт|Power Bank 20000mAh «HyperCell» 1шт,||,9.50,
джин гараж грейп,Store F,hidden,Cyrillic spelling of foreign brand,Джин премиальный grapefruit «Nordic Gin» 1000мл|Джин премиальный grapefruit «Nordic Gin» 1000мл|Джин премиальный botanical «Volt Spirit» 700мл,||,10.20,
витамины иммунитет,Store B,hidden,Health vertical,Витаминный комплекс иммунитет «DailyVits» 30табл.|Витаминный комплекс иммунитет «Immuno+» 30табл.|Витаминный комплекс иммунитет «Immuno+» 30табл.,||,10.25,
маска для волос ker,Store B,hidden,Mixed Latin/Cyrillic,Масло подсолнечное для HoReCa «ChefPro» 3000мл|Масло оливковое для жарки «Gusto» 500мл|Масло подсолнечное для HoReCa «Helio» 5000мл,||,12.14,
лампа led smart,Store E,hidden,Smart home variant,Лампа LED smart «BrightHome» 1шт|Лампа LED smart «EcoLight» 1шт|Лампа LED E14 «Luma» 4шт,||,11.60,
trash bags 30l,Store D,hidden,English units,Адаптер USB-C 35W «TechNode» 1шт|Масло сливочное безлактозное «Teos» 1кг|Адаптер USB-C gan «TechNode» 1шт,||,10.76,
cle an dish,Store D,hidden,Spacing noise,Средство для мытья посуды professional «Clean&Shine» 1000мл|Средство для мытья посуды professional «Clean&Shine» 750мл|Салфетки влажные премиум «Clean&Care» 60шт,||,10.36,
гель для душа sensitive,Store B,hidden,Mixed languages,Гель для душа sensitive «Sense» 250мл|Гель для душа sensitive «AquaVera» 250мл|Гель для душа цитрус «Sense» 750мл,||,10.45,
puree mango,Store D,hidden,Baby food in Latin,Шампунь питательный men «Pure Roots» 250мл|Шампунь питательный men «Pure Roots» 500мл|Шампунь питательный men «Pure Roots» 750мл,||,11.40,
cat indoor steril,Store C,hidden,Foreign descriptor,Корм для кошек сухой indoor «CatCraft» 400г|Корм для кошек сухой indoor «CatCraft» 400г|Корм для кошек сухой indoor «NordPet» 5кг,||,10.32,
dog hypo salmon,Store C,hidden,Attribute-rich,Корм для собак гипоаллергенный salmon «DogForce» 12кг|Корм для собак гипоаллергенный salmon «DogForce» 800г|Корм для собак гипоаллергенный medium «DogForce» 1500г,||,9.06,
energy drink zero,Store E,hidden,English intent,Энергетический напиток zero «Litl Energy» 250мл|Батарейки AA eco «EnergyGo» 4шт|Батарейки AA rechargeable «EnergyGo» 4шт,||,10.05,
сахар меш 25,Store C,hidden,Numeric B2B,Сахар-песок меш 25кг «HoReCa» 1000г|Сахар-песок меш 25кг «SweetLand» 10кг|Сахар-песок меш 25кг «SweetLand» 900г,||,9.11,
teabag herbal detox,Store A,hidden,English tea,Адаптер USB-C 35W «TechNode» 1шт|Масло сливочное безлактозное «Teos» 1кг|Адаптер USB-C gan «TechNode» 1шт,||,10.50,
сыр моцарелла 2 кг,Store C,hidden,Full words but should be in scope,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г|Мука пшеничная HoReCa 25 кг «Старый Мельник» 5кг|Сыр чеддер mature «ChefPro» 400г,||,11.62,
gloves nitrile m,Store D,hidden,Protective equipment,Перчатки одноразовые m «Medico» 200шт|Перчатки одноразовые m «SafeTouch» 100шт|Шампунь питательный color care «GlowUp» 400мл,||,8.67,
